Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21435.01","Apple juice","2022","2022","t","25.04","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21435.01","Apple juice","2022","2022","1000 USD","28","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21435.01","Apple juice","2022","2022","t","487.56","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21435.02","Apple juice, concentrated","2021","2021","t","6.44","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21435.02","Apple juice, concentrated","2021","2021","1000 USD","10","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21435.02","Apple juice, concentrated","2021","2021","t","22078.84","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21435.02","Apple juice, concentrated","2022","2022","t","30.53","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21435.02","Apple juice, concentrated","2022","2022","1000 USD","64","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21435.02","Apple juice, concentrated","2022","2022","t","20511.76","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01341","Apples","2021","2021","t","50977.7","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01341","Apples","2021","2021","1000 USD","53296","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01341","Apples","2021","2021","t","99047.89","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01341","Apples","2022","2022","t","129985.66","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01341","Apples","2022","2022","1000 USD","134085","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01341","Apples","2022","2022","t","35050.81","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01343","Apricots","2021","2021","t","53.05","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01343","Apricots","2021","2021","1000 USD","127","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01343","Apricots","2021","2021","t","0.32","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01343","Apricots","2022","2022","t","27.78","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01343","Apricots","2022","2022","1000 USD","104","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01343","Apricots","2022","2022","t","0.14","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21419.01","Apricots, dried","2021","2021","t","3669.73","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21419.01","Apricots, dried","2021","2021","1000 USD","14890","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21419.01","Apricots, dried","2021","2021","t","0.4","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21419.01","Apricots, dried","2022","2022","t","2849.95","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21419.01","Apricots, dried","2022","2022","1000 USD","19087","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21419.01","Apricots, dried","2022","2022","t","0.36","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01379.01","Areca nuts","2021","2021","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01379.01","Areca nuts","2022","2022","t","5.16","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01379.01","Areca nuts","2022","2022","1000 USD","106","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01379.01","Areca nuts","2022","2022","t","96.61","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01216","Artichokes","2021","2021","t","32.38","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01216","Artichokes","2021","2021","1000 USD","57","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01216","Artichokes","2021","2021","t","0.14","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01216","Artichokes","2022","2022","t","0.3","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01211","Asparagus","2021","2021","t","764.99","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01211","Asparagus","2021","2021","1000 USD","4285","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01211","Asparagus","2021","2021","t","3.69","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01211","Asparagus","2022","2022","t","774.61","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01211","Asparagus","2022","2022","1000 USD","4459","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01211","Asparagus","2022","2022","t","3.86","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5908","Export Quantity","02132","Asses","2022","2022","An","4","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01311","Avocados","2021","2021","t","265.75","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01311","Avocados","2021","2021","1000 USD","612","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01311","Avocados","2021","2021","t","8531.79","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01311","Avocados","2022","2022","t","437.43","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01311","Avocados","2022","2022","1000 USD","929","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01311","Avocados","2022","2022","t","10749.63","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2021","2021","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2022","2022","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01708","Bambara beans, dry","2021","2021","t","80.78","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01708","Bambara beans, dry","2022","2022","t","120","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01312","Bananas","2021","2021","t","42.75","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01312","Bananas","2021","2021","1000 USD","154","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01312","Bananas","2021","2021","t","107722.12","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01312","Bananas","2022","2022","t","36.82","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01312","Bananas","2022","2022","1000 USD","138","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01312","Bananas","2022","2022","t","83363.21","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0115","Barley","2021","2021","t","485226.51","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0115","Barley","2021","2021","1000 USD","156620","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0115","Barley","2021","2021","t","1.11","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0115","Barley","2022","2022","t","658546.46","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0115","Barley","2022","2022","1000 USD","266742","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0115","Barley","2022","2022","t","0.39","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01701","Beans, dry","2021","2021","t","83106.78","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01701","Beans, dry","2021","2021","1000 USD","60728","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01701","Beans, dry","2021","2021","t","153450.61","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01701","Beans, dry","2022","2022","t","76137.02","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01701","Beans, dry","2022","2022","1000 USD","54578","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01701","Beans, dry","2022","2022","t","89591.68","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","F0875","beef and veal preparations nes","2021","2021","t","182.74","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","F0875","beef and veal preparations nes","2021","2021","1000 USD","555","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","F0875","beef and veal preparations nes","2021","2021","t","111229.42","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","F0875","beef and veal preparations nes","2022","2022","t","52.02","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","F0875","beef and veal preparations nes","2022","2022","1000 USD","227","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","F0875","beef and veal preparations nes","2022","2022","t","106337.51","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","24310.01","Beer of barley, malted","2021","2021","t","18406.25","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","24310.01","Beer of barley, malted","2021","2021","1000 USD","17315","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","24310.01","Beer of barley, malted","2021","2021","t","241116.29","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","24310.01","Beer of barley, malted","2022","2022","t","14897.24","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","24310.01","Beer of barley, malted","2022","2022","1000 USD","15182","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","24310.01","Beer of barley, malted","2022","2022","t","200587.81","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5907","Export Quantity","02196","Bees","2021","2021","No","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","02960.01","Beeswax","2021","2021","t","14.76","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","02960.01","Beeswax","2021","2021","1000 USD","104","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","02960.01","Beeswax","2021","2021","t","93.12","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","02960.01","Beeswax","2022","2022","t","14.16","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","02960.01","Beeswax","2022","2022","1000 USD","117","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","02960.01","Beeswax","2022","2022","t","30.22","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","39149.01","Beet pulp","2021","2021","t","20131","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","39149.01","Beet pulp","2021","2021","1000 USD","8918","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39149.01","Beet pulp","2021","2021","t","44738","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","39149.01","Beet pulp","2022","2022","t","18549","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","39149.01","Beet pulp","2022","2022","1000 USD","9278","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39149.01","Beet pulp","2022","2022","t","77","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21182","Bovine meat, salted, dried or smoked","2021","2021","t","610.99","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21182","Bovine meat, salted, dried or smoked","2022","2022","t","0.85","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21182","Bovine meat, salted, dried or smoked","2022","2022","1000 USD","16","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21182","Bovine meat, salted, dried or smoked","2022","2022","t","1255.99","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","39120.13","Bran of cereals n.e.c.","2021","2021","t","91.01","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","39120.13","Bran of cereals n.e.c.","2021","2021","1000 USD","41","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39120.13","Bran of cereals n.e.c.","2021","2021","t","1132.53","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","39120.13","Bran of cereals n.e.c.","2022","2022","t","5.19","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","39120.13","Bran of cereals n.e.c.","2022","2022","1000 USD","60","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39120.13","Bran of cereals n.e.c.","2022","2022","t","1242.86","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","39120.04","Bran of maize","2021","2021","t","46211.03","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","39120.04","Bran of maize","2021","2021","1000 USD","10690","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39120.04","Bran of maize","2021","2021","t","959.6","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","39120.04","Bran of maize","2022","2022","t","47163.91","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","39120.04","Bran of maize","2022","2022","1000 USD","12629","A","Official figure",""
